copyright,mode,concurrency,total_tps_per_gpu,aggregate_total_tps,duration_seconds,planned_requests,completed_requests,median_ttft_ms,median_tpot_ms,p99_ttft_ms,p99_tpot_ms,peak_output_tps,formal_start,formal_end,job_audit_status,formal_audit_status,topology_status,job_id,result,audit,formal_audit,topology_audit
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1,27.09442914735086,867.0217327152275,53.147456702950876,5,5,1038.8617719872855,9.342381595313014,1043.3298876439221,9.491350762992152,148.8,2026-08-16T14:40:04,2026-08-16T14:41:14,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,2,48.64841731639612,1556.7493541246758,59.20028150698636,10,10,1954.1126365074888,9.674633022497673,2040.3749081061687,10.611702595174656,299.7,2026-08-16T14:42:07,2026-08-16T14:43:24,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_2_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,4,95.541061983274,3057.313983464768,60.288214098021854,20,20,2068.6456639959943,9.772162087489729,2100.708214851911,9.93105460760306,407.9,2026-08-16T14:44:18,2026-08-16T14:45:36,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_4_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,8,185.00446232351024,5920.142794352328,62.26876830600668,40,40,2134.211046010023,10.04975882113273,2154.333281603176,10.383644612643272,794.7,2026-08-16T14:46:32,2026-08-16T14:47:52,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_8_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,16,355.6088382661755,11379.482824517616,64.79029068100499,80,80,2261.15068999934,10.46292965396768,2277.1191958501004,10.57339616534769,1608.9000000000003,2026-08-16T14:48:50,2026-08-16T14:50:14,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_16_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,32,655.141992681589,20964.54376581085,70.33589743101038,160,160,2509.872649476165,11.579254795670852,2573.43223845819,12.95781109696559,3289.0,2026-08-16T14:51:14,2026-08-16T14:52:44,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_32_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,64,1063.7629282193984,34040.41370302075,86.63584484398598,320,320,3318.388252024306,13.315881284969773,4184.439708173741,16.067737046361085,6239.7,2026-08-16T14:53:58,2026-08-16T14:55:45,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_64_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,128,1527.5736782992863,48882.35770557716,120.66193769796519,640,640,3586.8707560002804,20.567507464316915,7467.797808354953,25.944401340667007,10721.900000000001,2026-08-16T14:57:14,2026-08-16T14:59:37,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_128_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,256,2270.1321108131074,72644.22754601944,162.38702507404378,1280,1280,4135.784636018798,28.016332458443657,13785.547789586708,37.405252858794626,19548.100000000002,2026-08-16T15:01:32,2026-08-16T15:04:41,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_256_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,384,2599.219221220576,83175.01507905843,212.74080904200673,1920,1920,4426.309152011527,36.31256768036814,20699.69875850191,46.90296757938969,24895.7,2026-08-16T15:07:00,2026-08-16T15:11:02,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_384_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
